ID,Title,ShortTitle,FacultyId
1,Автоматики и процессов управления,каф.АПУ,26
2,"""Информационные системы""",каф.ИС,26
3,Биотехнических систем,каф.БТС,28
4,Высшей математики,каф.ВМ,38
5,"""Алгоритмическая математика""",каф.АМ,26
6,Вычислительной техники,каф.ВТ,26
7,Инженерной защиты окружающей среды,каф.ИЗОС,28
8,Инновационного менеджмента,каф.ИМ,42
9,Иностранных языков,каф.ИНЯЗ,30
10,Информационно-измерительных систем и технологий,каф.ИИСТ,28
11,Фотоники,каф.Фот,25
12,Корабельных систем управления,каф.КСУ,27
13,Лазерных измерительных и навигационных систем,каф.ЛИНС,28
14,Математического обеспечения и применения ЭВМ,каф.МОЭВМ,26
15,Менеджмента и систем качества,каф.МСК,42
16,Микрорадиоэлектроники и технологии радиоаппаратуры,каф.МИТ,24
17,Микро- и наноэлектроники,каф.МНЭ,25
18,Прикладной механики и инженерной графики,каф.ПМИГ,38
19,Прикладной экономики,каф.ПЭ,42
20,Радиотехнических систем,каф.РС,24
21,Микроволновой электроники,каф.МВЭ,25
22,Радиоэлектронных средств,каф.РЭС,24
23,Робототехники и автоматизации производственных систем,каф.РАПС,27
24,Систем автоматизированного проектирования,каф.САПР,26
25,Систем автоматического управления,каф.САУ,27
26,"""Связи с общественностью""",каф.СО,30
27,Телевидения и видеотехники,каф.ТВ,24
28,Теоретических основ радиотехники,каф.ТОР,24
29,Теоретических основ электротехники,каф.ТОЭ,27
30,Физики,каф.Физики,38
31,Физической химии,каф.ФХ,28
32,Физической электроники и технологии,каф.ФЭТ,25
33,Физического воспитания и спорта,каф.ФВиС,38
34,Электроакустики и ультразвуковой техники,каф.ЭУТ,28
35,Электронного приборостроения,каф.ЭП,25
36,Электронных приборов и устройств,каф.ЭПУ,25
37,Электротехнологической и преобразовательной техники,каф.ЭТПТ,27
39,Безопасности жизнедеятельности,каф.БЖД,28
40,"Истории культуры, государства и права",каф.ИКГП,30
41,Русского языка,каф.РЯ,30
42,Социологии и политологии,каф.СП,30
43,Философии,каф.ФЛ,30
44,Экономики технологического предпринимательства,каф.ЭТП,42
45,Базовая кафедра автоматизации исследований,Баз.каф.АИ,26
46,"Базовая кафедра ""Интеллектуальные информационные технологии""",Баз.каф.ИИТ,26
47,Медицинских технологий (базовая),Баз.каф.МТ,28
48,Базовая кафедра оптоэлектроники,Баз.каф.ОЭ,25
49,Базовая кафедра радиоастрономии,Баз.каф.РА,24
50,Базовая кафедра радиоэлектронных информационных систем и комплексов,Баз.каф.РИСК,24
51,Базовая кафедра специальных средств радиоэлектроники,Баз.каф.ССР,24
52,Базовая кафедра конструирования и производства судового электрооборудования,БККИПСЭ,28
53,Базовая кафедра технологии производства радиодеталей,БКТПР,24
54,Базовая кафедра конструирования и технологии электронной аппаратуры,Баз.каф.КТЭА,28
55,Физики и современной технологии твердотельной электроники,Баз.каф.ФТТЭ,25
58,Информационная безопасность,каф.ИБ,26
59,"Базовая кафедра ""Вычислительные технологии""",Баз.каф.ВТ,26
60,"Базовая кафедра ""Наноматериалы и нанотехнологии в радиоэлектронике""",Баз.каф.ННР,24
61,"Базовая кафедра ""Медицинские информационные и биотехнические системы""",Баз.каф.МИБТС,28
62,"Базовая кафедра ""Видеоинформационные системы""",Баз.каф.ВИНС,24
63,"Базовая кафедра ""Программное и аппаратное обеспечение гидроакустических информационных систем""",Баз.каф.ПАО ГИС,26
64,"Базовая кафедра ""Робототехники и автоматики""",Баз.каф.РиА,27
99,Иная кафедра,ИК,99
